Datetime,RTU_COMP_WATT,RTU_LA_COND_TEMP,RTU_MA_HUM,RTU_MA_TEMP,RTU_OA_HUM,RTU_OA_TEMP,RTU_RA_HUM,RTU_RA_TEMP,RTU_REFG_COND_TEMP_1,RTU_REFG_COND_TEMP_2,RTU_REFG_DISC_PRES_1,RTU_REFG_DISC_PRES_2,RTU_REFG_DISC_TEMP_1,RTU_REFG_DISC_TEMP_2,RTU_REFG_SUCT_PRES_1,RTU_REFG_SUCT_PRES_2,RTU_REFG_SUCT_TEMP_1,RTU_REFG_SUCT_TEMP_2,RTU_SA_FAN_WATT,RTU_SA_FLOW,RTU_SA_HUM,RTU_SA_TEMP,RTU_TOT_WATT,ZA_HUM,ZA_TEMP
2021-08-10 00:00:00,0.0,20.228651,86.433617,22.671362,93.949623,20.366032,86.773048,21.692942,22.24642,22.140219,8.090044,8.678844,26.590746,24.840281,8.140621,8.758386,27.460922,22.587921,0.0,24.98204,88.528984,22.457548,69.000008,-15.036513,20.869066
2021-08-10 00:01:00,0.0,20.134947,86.399147,22.666588,94.031525,20.35775,86.664001,21.702332,22.231842,22.146467,8.090032,8.663533,26.608961,24.834213,8.134615,8.75431,27.44676,22.562933,0.0,24.952162,88.478729,22.457548,70.000008,-15.036513,20.868975
2021-08-10 00:02:00,0.0,20.107876,86.324677,22.658609,94.085777,20.347301,86.749107,21.711723,22.236008,22.154795,8.078691,8.663623,26.580633,24.82814,8.128085,8.751223,27.428543,22.550438,0.0,24.948057,88.45713,22.4552,70.000008,-15.036513,20.871756
2021-08-10 00:03:00,0.0,20.191168,86.27964,22.637869,94.112633,20.330559,86.764427,21.690596,22.217264,22.136055,8.075024,8.663563,26.594795,24.822073,8.123202,8.7464,27.404257,22.521286,0.0,24.981829,88.446472,22.441118,70.000008,-15.036513,20.852484
2021-08-10 00:04:00,0.0,20.224487,86.292809,22.630203,94.137886,20.32489,86.663666,21.690596,22.208939,22.127729,8.075035,8.663502,26.576582,24.820045,8.118424,8.743226,27.38402,22.515038,0.0,24.936127,88.475044,22.41765,70.000008,-15.036513,20.841057
2021-08-10 00:05:00,0.0,20.243227,86.25779,22.630465,94.166924,20.304874,86.547935,21.690596,22.194359,22.117315,8.074945,8.660992,26.568487,24.801834,8.115001,8.741068,27.363785,22.515036,0.0,24.957006,88.50248,22.389494,69.000008,-15.036513,20.82987
2021-08-10 00:06:00,0.0,20.251556,86.2351,22.613375,94.174828,20.302309,86.47242,21.690596,22.192278,22.111069,8.06499,8.649692,26.566465,24.783623,8.111436,8.738868,27.357714,22.496298,0.0,24.930481,88.505882,22.366026,70.000008,-15.036513,20.804998
2021-08-10 00:07:00,0.0,20.101629,86.212807,22.598991,94.212898,20.292284,86.529846,21.690596,22.179787,22.083994,8.061083,8.658543,26.538134,24.757315,8.11151,8.74045,27.353668,22.510872,0.0,24.973251,88.534035,22.366026,70.000008,-15.036513,20.804876
2021-08-10 00:08:00,0.0,20.105793,86.200989,22.582922,94.264771,20.286356,86.453697,21.690596,22.163126,22.079828,8.070256,8.663535,26.503731,24.724937,8.111555,8.744372,27.349623,22.512957,0.0,24.948641,88.545113,22.349602,70.000008,-15.036513,20.805166
2021-08-10 00:09:00,0.0,20.228649,86.231377,22.57502,94.291626,20.274826,86.294373,21.690596,22.165207,22.071501,8.073367,8.663521,26.463259,24.702677,8.11213,8.746345,27.351645,22.527529,0.0,24.944916,88.584816,22.344908,70.000008,-15.036513,20.794191
2021-08-10 00:10:00,0.0,20.282789,86.238152,22.567064,94.328545,20.26104,86.185997,21.68355,22.152716,22.052763,8.071933,8.663444,26.443022,24.672323,8.113997,8.746611,27.339502,22.542107,0.0,24.9512,88.578758,22.344908,70.000008,-15.036513,20.77816
2021-08-10 00:11:00,0.0,20.401484,86.227089,22.565765,94.3386,20.263224,86.092377,21.681204,22.133972,22.059008,8.068969,8.663327,26.3985,24.660177,8.111514,8.746367,27.333433,22.554602,0.0,24.95397,88.587952,22.344908,69.000008,-15.036513,20.765865
2021-08-10 00:12:00,0.0,20.320272,86.219452,22.547888,94.353554,20.249458,86.171867,21.669464,22.138138,22.036102,8.063489,8.66337,26.380289,24.635895,8.111405,8.746299,27.323313,22.56085,0.0,24.937403,88.580597,22.344908,69.000008,-15.036513,20.740963
2021-08-10 00:13:00,0.0,20.253637,86.200737,22.545372,94.409966,20.2465,86.210274,21.645988,22.131891,22.040268,8.059896,8.663382,26.351959,24.625776,8.110257,8.745303,27.329384,22.569178,0.0,24.968721,88.567085,22.34256,70.000008,-15.036513,20.738165
2021-08-10 00:14:00,0.0,20.330683,86.192474,22.530861,94.45752,20.240244,86.272308,21.620165,22.117315,22.031939,8.05969,8.663461,26.339815,24.61161,8.106148,8.742537,27.315218,22.573343,0.0,24.967978,88.57534,22.34256,69.000008,-15.036513,20.72747
2021-08-10 00:15:00,0.0,20.349426,86.177155,22.522177,94.495689,20.234015,86.280121,21.580259,22.108986,22.031939,8.059813,8.663446,26.327675,24.601494,8.103937,8.741371,27.305105,22.57126,0.0,24.962332,88.606804,22.326134,70.000008,-15.036513,20.71052
2021-08-10 00:16:00,0.0,20.251554,86.159691,22.510902,94.540764,20.233976,86.213692,21.577909,22.096491,22.017365,8.059854,8.663575,26.301369,24.581255,8.100513,8.739246,27.284861,22.554604,0.0,24.953278,88.615135,22.309706,69.000008,-15.036513,20.704939
2021-08-10 00:17:00,0.0,20.153688,86.186676,22.497696,94.598114,20.232521,85.806999,21.479311,22.102737,22.006952,8.059891,8.656163,26.283155,24.556971,8.100249,8.738936,27.278793,22.569178,0.0,24.960787,88.610191,22.267466,70.000008,-15.036513,20.704882
2021-08-10 00:18:00,0.0,20.174511,86.165314,22.491796,94.652031,20.214882,85.205475,21.465227,22.096491,22.009035,8.05983,8.648407,26.262917,24.550898,8.098,8.735935,27.27677,22.567099,0.0,24.9561,88.637604,22.232267,69.000008,-15.036513,20.705149
2021-08-10 00:19:00,0.0,20.386908,86.090523,22.488749,94.69101,20.209181,84.216087,21.368975,22.077749,22.002787,8.059737,8.649642,26.242678,24.52257,8.096393,8.737261,27.27475,22.556686,0.0,24.963663,88.60891,22.232267,70.000008,-15.036513,20.702471
2021-08-10 00:20:00,0.0,20.416059,85.916771,22.462646,94.744019,20.209488,83.025963,21.249254,22.081915,21.998625,8.058537,8.661067,26.218393,24.510427,8.096341,8.738854,27.268677,22.571264,0.0,24.932344,88.627113,22.232267,69.000008,-15.036513,20.679865
2021-08-10 00:21:00,0.0,20.376495,85.694954,22.441322,94.799049,20.205406,82.038361,21.237513,22.06109,21.990295,8.04695,8.663387,26.192087,24.508406,8.094745,8.738812,27.27475,22.585836,0.0,24.950401,88.632774,22.232267,70.000008,-15.036513,20.668875
2021-08-10 00:22:00,0.0,20.303612,85.744446,22.42782,94.83374,20.21096,82.430504,21.237516,22.061094,21.975718,8.044345,8.662151,26.155663,24.480072,8.09201,8.738777,27.276772,22.606659,0.0,24.939322,88.653816,22.232267,70.000008,-15.036513,20.643532
2021-08-10 00:23:00,0.0,20.228651,85.789124,22.419241,94.857384,20.200714,82.495735,21.256294,22.040268,21.946562,8.044316,8.648211,26.137449,24.463881,8.087001,8.735686,27.260582,22.581675,0.0,24.940546,88.668907,22.232267,70.000008,-15.036513,20.637865
2021-08-10 00:24:00,0.0,20.24531,85.827034,22.40243,94.859947,20.19561,82.932762,21.343153,22.031939,21.934069,8.041801,8.648263,26.117212,24.455788,8.082675,8.732648,27.256536,22.602495,0.0,24.960203,88.657692,22.232267,69.000008,-15.036513,20.63492
2021-08-10 00:25:00,0.0,20.20158,85.866386,22.382042,94.827728,20.181803,82.755348,21.268036,22.002787,21.921576,8.029252,8.648303,26.117212,24.437576,8.079171,8.727626,27.24439,22.587921,0.0,24.966112,88.658928,22.225229,70.000008,-15.036513,20.635073
2021-08-10 00:26:00,0.0,20.157852,85.899879,22.373575,94.807335,20.166792,82.315102,21.239862,22.011116,21.917412,8.029296,8.648271,26.098999,24.445671,8.077655,8.727716,27.248438,22.59833,0.0,24.940119,88.65609,22.201761,70.000008,-15.036513,20.618288
2021-08-10 00:27:00,0.0,20.189087,85.856049,22.361687,94.797821,20.15457,81.280334,21.169436,21.990295,21.894508,8.029224,8.648177,26.068644,24.413292,8.077672,8.727138,27.228203,22.602495,0.0,24.963717,88.658936,22.152483,70.000008,-15.036513,20.629265
2021-08-10 00:28:00,0.0,20.15785,85.719887,22.33069,94.779701,20.139725,80.934387,21.12718,22.004869,21.904917,8.029129,8.648225,26.066622,24.405197,8.073238,8.723841,27.220108,22.604578,0.0,24.96361,88.67984,22.119629,70.000008,-15.036513,20.615036
2021-08-10 00:29:00,0.0,20.207827,85.712227,22.314325,94.790672,20.135975,80.833061,21.12718,21.988211,21.892424,8.029072,8.644039,26.040314,24.384958,8.065464,8.72138,27.214037,22.608742,0.0,24.941772,88.673645,22.119629,70.000008,-15.036513,20.609564
2021-08-10 00:30:00,0.0,20.064146,85.69825,22.296888,94.816864,20.130257,81.339432,21.129528,21.975718,21.863272,8.017848,8.634207,26.030195,24.401152,8.059735,8.716389,27.214037,22.612907,0.0,24.945021,88.696754,22.119629,69.000008,-15.036513,20.604105
2021-08-10 00:31:00,0.0,19.743473,85.624176,22.279861,94.825104,20.117224,81.555573,21.162392,21.940317,21.848696,8.01404,8.632833,26.009962,24.389008,8.056557,8.716411,27.193802,22.598333,0.0,24.946831,88.666908,22.119629,70.000008,-15.036513,20.601198
2021-08-10 00:32:00,0.0,19.733061,85.345581,22.246025,94.793091,20.107883,80.856682,21.143612,21.929903,21.821623,8.014076,8.632722,25.989723,24.372816,8.054369,8.714863,27.183683,22.59833,0.0,24.958923,88.670937,22.119629,70.000008,-15.036513,20.587446
2021-08-10 00:33:00,0.0,19.678917,85.335846,22.217367,94.734383,20.088312,81.292549,21.155348,21.919495,21.809128,8.014003,8.632745,25.973536,24.37484,8.049657,8.711732,27.195826,22.602495,0.0,24.954237,88.652802,22.119629,70.000008,-15.036513,20.584719
2021-08-10 00:34:00,0.0,19.703905,85.394844,22.207506,94.657631,20.062857,81.870193,21.185867,21.892424,21.784142,8.014126,8.632651,25.967463,24.348534,8.046113,8.708939,27.173567,22.594168,0.0,24.945501,88.653526,22.119629,70.000008,-15.036513,20.57589
2021-08-10 00:35:00,0.0,19.739305,85.380371,22.194921,94.560425,20.035055,81.933571,21.188213,21.898672,21.763319,7.999302,8.632786,25.957346,24.350557,8.041682,8.706438,27.1938,22.59833,0.0,24.949389,88.64669,22.119629,69.000008,-15.036513,20.559439
2021-08-10 00:36:00,0.0,19.681,85.34201,22.186419,94.465385,20.019257,82.012329,21.171782,21.854942,21.732086,7.998436,8.621272,25.918894,24.326273,8.038144,8.702939,27.183683,22.571264,0.0,24.951147,88.628242,22.114935,69.000008,-15.036513,20.534098
2021-08-10 00:37:00,0.0,19.689329,85.276558,22.169024,94.373222,19.992632,82.132286,21.131876,21.850777,21.723757,7.998511,8.617343,25.914848,24.340439,8.033116,8.700088,27.185707,22.573341,0.0,24.941345,88.622307,22.077393,70.000008,-15.036513,20.5093
